First(형용사),Second(명사),채팅방 이름 예시
뜨거운,피아노,
새침한,마스크,
부드러운,치킨,
사악한,강아지,
달콤한,세탁기,
향긋한,색종이,
신박한,소라게,
슬픈,포스트잇,
즐거운,모먼팅,
맛있는,술,
재밌는,전복,
흉악한,피피티,
사악한,엑셀,
영리한,나무늘보,
똑똑한,원숭이,
기쁜,토끼,
달달한,호랑이,
매운,강아지,
신박한,고양이,
딱딱한,냉장고,
신,티비,
짠,컵,
쓴,펜,
새콤한,복숭아,
매콤한,오렌지,
배부른,단감,
배고픈,사과,
비싼,귤,
싼,배,
영특한,바나나,
사특한,대학생,
사사로운,직장인,
심술난,월급,
화난,모자,
즐기는,만년필,
논리적인,알약,
멍청한,수첩,
멍한,과자,
순한,충전기,
악한,립밤,
큰,지갑,
작은,잉크,
활기찬,안약,
모험적인,리모컨,
두려운,책,
외로운,고전문학,
귀찮은,술잔,
잔인한,크림,
대담한,성냥,
불쾌한,휴지,
몰두하는,젤리,
거침없는,스탠드,
상쾌한,소파,
과감한,슬리퍼,
열광적인,사전,
무서운,헤드셋,
자유로운,스킨,
씩씩한,카메라,
피곤한,망고,
신중한,화분,
희망찬,축음기,
친절한,라디오,
놀란,키보드,
자상한,마우스,
행복한,편지,
초조한,그림,
열중하는,예능,
울적한,목걸이,
고독한,반지,
사랑하는,팔찌,
느긋한,명함,
편안한,면봉,
명랑한,지우개,
비참한,메모지,
설레는,약,
속타는,음료수,
의욕적인,수험표,
성급한,우산,
솔직한,테이프,
확고한,선풍기,
위축된,화장솜,
평온한,모니터,
유쾌한,클립,
온순한,스피커,
안심한,장갑,
괴로운,목도리,
따뜻한,패딩,
겁먹은,썬캐쳐,
불쌍한,줄자,
차가운,진통제,
시원한,건전지,
통쾌한,렌즈,
단,비타민,
큰,칫솔,
작은,빗자루,
무거운,물병,
가벼운,물티슈,
빠른,마이크,
느린,쿠션,
맛있는,노트북,
맛없는,멀티탭,
트랜디한,문,
모던한,도어락,