1,모먼팅은 대체 어떤 서비스인가요?,"모먼팅은 20분의 시간동안 이루어지는 단체 채팅을 통해 다양한 또래 관계를 형성합니다.
단체 채팅 대화 이후 1:1 대화에서는 더욱 깊고 솔직한 대화를 나눌 수 있습니다."
2, 오늘의 질문은 왜 하는 건가요?,오늘의 질문은 1:1대화 시작 전 상대방과 부담없이 대화를 이어나갈 수 있도록 돕습니다. 1:1 대화 시작 전에 상대방과 오늘의 질문에 어떤 답변을 하였는지 맞혀보며 자연스럽게 서로의 취향을 파악하고 대화를 이어나갈 수 있도록 합니다.
3,오늘의 질문에 답변을 안하고 닫아버린 경우 다시 답변하려면 어떻게 해야 하나요?,"모먼팅 앱 홈화면 하단의 '오늘의 질문 확인하기' 버튼을 통해 놓친 오늘의 질문에 답변을 할 수 있습니다. 다만, 이미 답변한 질문은 변경이 불가합니다."
4,오늘의 질문 답변을 변경하고 싶어요,오늘의 질문 답변 변경은 불가능합니다! 매일 제공되는 질문에 신중하게 답변해주세요!
5,키워드 시스템은 뭔가요?,"모먼팅에서는 키워드 시스템으로 나를 나타낼 수 있습니다. 키워드로 상대방을 파악하는 데에도 도움이 됩니다.모먼팅에서 제공하는 대표 키워드 중 하나를 선택한 뒤, 마이 프로필 편집창에서 해당 키워드에 대한 설명을 추가해주세요. 각 키워드의 합산은 100%가 되도록 설정해주세요."
6,매너 등급은 어떻게 매겨지나요?,"매너 등급은 6단계로 나뉩니다.
(모래알, 모래뭉치, 두꺼비집, 모래집, 모래성, 모래궁전)
매너 지수를 상승시키려면?
프로필(프로필 사진, 한 줄 소개, 키워드, 모래알 유형)을 완성하거나,
다양한 채팅 경험 또는 1:1채팅 후 이루어지는 매너 평가를 통해 상승시킬 수 있습니다."
7,비밀 사진첩은 어떻게 볼 수 있나요?,비밀 사진첩은 1:1 매칭이 성사된 유저끼리만 서로 볼 수 있습니다. 전체 유저에게 공개되는 일반 사진첩과는 다르게 공개 범위를 한정시켜 자신의 모습을 더 솔직하게 드러낼 수 있도록 하였습니다.
8,단체채팅 매칭 기준은 무엇인가요?,"단체 채팅은 성비 1:1을 맞춘 완전 랜덤 시스템입니다. 모먼팅의 단체 채팅은 다양한 또래 관계를 형성하기 위한 목적으로 기획되었기에 랜덤으로 이루어집니다. 
원하는 상대와는 단체 채팅 이용 후 1:1 채팅 신청을 통해 더욱 깊은 대화를 나눌 수 있습니다."
9,"단체채팅을 더 길게 하고 싶은데
시간제한이 있어 속상해요","단체 채팅은 20분간의 시간 제한을 두어 좀 더 긴장감있고 활기찬 대화를 유도합니다.
대화를 더 하고 싶은 유저가 있다면 20분간의 단체 채팅 종료 후
1:1 대화 신청을 걸어 시간 제한 없이, 더 자유로운 대화를 이어가보세요."
10,1:1 채팅방이 비활성화 되었어요,"1:1 대화방이 비활성화되는 경우는 다음과 같습니다.
""상대방이 1:1 대화방을 삭제 또는 나가기 한 뒤 7일 이후""

1:1대화방은 시간제한이 없어 참여자 중 한 명이 채팅 참여 의사가 없다면 종료됩니다.
상대가 채팅방을 나가면 방이 비활성화 되며 비활성화 된 채팅방은 7일 후 자동으로 삭제됩니다."
11,1:1 신청은 한 명에게만 가능한가요?,"단체 채팅 마무리 후 이루어지는 1:1 신청은 한 명에게만 가능합니다. 다만, 내가 원하는 상대와 연결되지 않았다고 상심하지 마세요. 1:1 신청은 모두 받은 신청 메뉴에 기록됩니다."
12,유저 신고는 어떻게 하나요?,"유저 신고는 단체 채팅 이용시 우측 상단의 신고 아이콘을 눌러 이용할 수 있습니다. 신고할 말풍선을 선택한 뒤 신고 사유를 선택하여 신고하기 버튼을 누르면 신고가 완료됩니다.
개인 채팅 이용시에는 상대 평가 시스템을 이용해 불편한 점을 작성해주시면 됩니다."
13,신고 당한 사용자는 이후에 어떻게 처리되나요?,"신고 당한 사용자는 운영진이 직접 대화 내용을 검토하여 합당한 사유일 경우 차단되며, 계정이 정지됩니다.
신고 1회 시 3일 간 정지, 신고 2회 시 7일 간 정지, 신고 3회 시 6개월 간 정지됩니다."
14,계정이 정지되었어요,"계정이 정지당한 경우는 다음과 같습니다.
1. 다른 사용자에게 합당한 사유로 신고를 당한 경우
2. 운영자의 판단하에 부적절한 유저라고 판단된 경우

신고 1회 시 3일간 정지/ 신고 2회 시 7일 간 정지/ 신고 3회 시 6개월 간 정지됩니다.
계정 정지가 부적절하다고 판단되는 경우 모먼팅 고객센터로 문의 주시기 바랍니다."
15,지인을 차단할 수는 없나요?,"모먼팅 지인 차단 경로는 다음과 같습니다.
[메인홈]-[마이프로필]-우측 상단의 [설정]-[연락처 차단 관리]-[연락처]- 차단할 연락처 선택 후 저장 버튼을 눌러 차단하기.
연락처 차단 관리의 연락처는 핸드폰에 저장되어있는 번호 리스트 입니다.

차단한 연락처 해제 경로는 다음과 같습니다.
[메인홈]-[마이프로필]-우측 상단의 [설정]-[연락처 차단 관리]-[차단된 연락처]- 차단 해제할 연락처 선택 후 저장 버튼을 눌러 차단 해제하기."
16,프로필 사진 변경이 자꾸 반려돼요,"프로필 사진 변경 반려의 이유는 다음과 같습니다.
다음 사항에 해당하는 경우 올바른 사진 형식으로 프로필 사진 변경을 다시 시도해주세요.

1: 수작업으로 검수가 들어가서 늦어지는 경우
2: 기존 자신의 얼굴을 알아볼 수 없는 과한 보정과 필터 사용 사진
3: 도용이 의심되는 사진
4. 라이프스타일과 비밀 사진첩으로 나눠져 잇느데 각 기준에 반려되는경우"
17,닉네임을 변경하고 싶어요,"현재 모먼팅 시스템 상 닉네임 변경은 불가합니다. 모먼팅은 1인 1계정을 원칙으로 하고 있으며, 악성 유저 방지를 위해 한 번 결정된 닉네임은 변경할 수 없도록 처리하였습니다."
18,나이와 성별을 변경하고 싶어요,"나이와 성별은 원칙상 변경이 불가하나, 예외 사항의 경우 변경이 가능하니 증빙 자료와 함께 고객센터로 문의 바랍니다. *예외사항 : 카카오 계정이 본인 계정이 아닌 경우 등"
19,탈퇴는 어떻게 하나요?,"모먼팅 회원 탈퇴 경로는 다음과 같습니다.
[메인홈]-[마이프로필]-우측 상단의 [설정]-[계정관리]-[회원 탈퇴]- 탈퇴 사유 선택 후 탈퇴하기 버튼을 눌러 탈퇴하기.
서비스를 탈퇴하면 프로필 정보, 대화 내용 등 모든 활동 정보가 삭제되고 복구할 수 없으며 계정 삭제 후 14일간 재가입도 불가하니 신중한 선택바랍니다."
20,탈퇴 후 개인정보는 어떻게 처리되나요?,"서비스를 탈퇴하면 프로필 정보, 대화 내용 등 모든 활동 정보가 삭제되고 복구할 수 없으며 계정 삭제 후 14일간 재가입도 불가합니다. 개인 정보는 재가입 방지를 위해 회원 탈퇴 후 14일 동안 보관되며 이후 모든 활동 정보가 삭제되므로 신중히 결정해주세요."
