num,Question_chat,answerA,answerB
1,집들이 갈때는?,디저트,인테리어 소품
2,여행의 낭만?,정해진 숙소와 음식!,발 닿는대로 자유여행
3,할 일이 많을 때 나는?,늦은 새벽까지 작업하기,일찍 일어나서 마무리
4,한강에서 나는 이게 더 좋다!,라면 끓여먹기,자전거 타기
5,겨울에는 역시,귤,붕어빵
6,평생 한가지만 먹을 수 있다면?,삼겹살,치킨
7,극악 밸런스,현 애인의 전 애인과 팀플,전 애인과 시간표 모두 겹치기
8,놀이공원에 가면...,무서운 놀이기구 위주,잔잔한 놀이기구 위주
9,나는 건강식품을...,이거라도 챙겨 먹어야 살 수 있다.,아직 건강하다. 잘 안먹는다.
10,핸드크림을...,잘 안바른다.,수시로 바른다.
11,다시 10대가 된다면?,더 열심히 공부한다.,일탈도 즐겨본다.
12,더 잘 맞는 가치관은?,열심히 저축하기,플렉스. 열심히 쓰기
13,티끌모아?,티끌이다.,태산이다.
14,머리부터 발 끝까지~,사랑스러워,오로나민씨~
15,더 짜릿한 것은?,겨울에 이불덮고 창문열기,여름에 이불덮고 에어컨키기
16,그나마 더 나은것은?,살짝 덜 익은 음식,살짝 탄 음식
17,더 선호하는 타입은?,대형견,소형견
18,일기 쓰는 건...,나중에 안본다. 다 부질없다.,소중한 추억을 남길 수 있어 좋다.
19,더 선호하는 타입은?,참기름,들기름
20,콩나물국은 말이야,얼큰하고 매운게 진리,맑고 시원한게 진리
21,일이 많아 복잡할 땐,중간중간 휴식시간을 가지며 한다.,되도록이면 빨리 해치운다.
22,한겨울에는 말이야,이한치한! 아이스아메리카노!,추우니까 따뜻한 아메리카노
23,다이어트는 말이야,내일부터,꾸준히 하는 중
24,어 느새 힙합은,안멋져,멋져
25,내가 좋아하는 향은,은은한 섬유유연제,향수가 진리지
26,더 선호하는 드라마 결말은?,해피엔딩,새드엔딩
27,더 선호하는 드라마 결말은?,열린결말,정해진결말
28,일상에서 더 행복감을 느끼는 순간은?,방금 세탁한 새 이불을 덮고 잘 때,알람이 울리기도 전에 상쾌한 기분으로 일어났을 때
29,씻는 순서,샤워 후 양치,양치 후 샤워
30,더 선호하는 여름 휴양지는?,바다,계곡
31,혼자만의 시간이 필요할 때는?,좋아하는 노래 들으면서 드라이브,좋아하는 영화 보면서 혼술
32,더 탐나는 재능은?,그림 잘 그리기,노래 잘 부르기
33,놀이공원에서 더 무서운 것은?,자이로드롭,귀신의 집
34,예상치 못하게 신나는 상황은?,오늘 마지막 수업 휴강,다 못한 과제 기한 연장
35,더 좋아하는 아우터는?,코트,무스탕
36,출전하고 싶은 올림픽 종목은?,양궁,펜싱
37,더 재밌게 보는 올림픽은?,하계 올림픽,동계 올림픽
38,출연하고 싶은 서바이벌 프로그램은?,프로듀스101,쇼미더머니
39,그나마 자신 있는 것은?,단어 500개 외우기,문제집 30장 풀기
40,더 견디기 힘든 것은?,시끄러운 층간 소음,지독한 실내 흡연 냄새
41,잠옷 입고 외출 가능한 범위는? (외투 걸칠 수 있음),외출 절대 불가,어디든 가능
42,로또 1등에 당첨된다면?,혼자만의 비밀로 간직,가까운 사람에게는 말하기
43,더 기분 좋은 학점은?,B+인 줄 알았는데 A 받기,A인 줄 알았는데 A+ 받기
44,내가 만화 캐릭터라면 되고 싶은 캐릭터는?,명탐정 코난,네모네모 스폰지밥
45,새해 첫 곡으로 듣고 싶은 노래는?,우주소녀-이루리,위너-밀리언즈
46,내가 연예인이라면 출연하고 싶은 예능은?,런닝맨,신서유기
47,독서실에서 더 민망한 상황은?,또박또박하게 잠꼬대하면서 잠들었을 때,이어폰 연결 안된 채로 강의 듣고 있었을 때
48,다시 태어난다면,지금과는 다른 삶을 사는 인간으로,인간으로 살아봤으니 다른 생물로
49,어디로 갈까?,내가 모르는 곳,내가 아는 곳
50,나는 술자리에서 주로,끝까지 남아서 즐기는 편,적당히 즐기다 빠지는 편
51,과제나 업무를 할 때,심심하니 뭐라도 틀어둔다,집중력 떨어지니 조용한게 좋다
52,더 싫은 것은?,비오는 날 축축하게 젖은 양말,흰 옷에 빨간 음식 튐
53,평생,양치 안 하기,샤워 안 하기
54,둘 중 최악인 것은?,환승이별,잠수이별
55,발표를 망쳤을 때 ,위로와 격려,냉철한 피드백
56,회사 면접 때,옆 사람이 넘사벽,옆 사람이 전애인
57,내가 말할 때 상대가,집중 안 하는데 나중에 무슨 말 했는지 다 기억함,집중은 해주지만 금방 까먹음
58,여행 풍경,눈으로 즐기며 천천히 걷기,스피드 즐기며 드라이브 하기
59,어떤 사람을 만나고 싶은 지,내가 배울 수 있는 사람,내가 무언가 알려줄 수 있는 사람
60,고민이 있을 때,고민을 해결해주는 상대,고민에 공감해주는 상대
61,더 나은 상대는?,항상 30분 전에 나와있는 사람,항상 10분 늦는 사람
62,평생,음악 안 듣기,영화. 드라마 안 보기
63,1년 동안,폰 없이 살기,친구 없이 살기
64,둘 중 하나를 먹는다면,마시멜로우 없는 초코파이,크림 없는 오레오
65,둘 중 나은 것은?,트름할 때 방구 소리 ,방구뀔 때 트름 소리 
66,하루종일 해야 한다면,asmr처럼 속닥거리며 말하기,데시벨 80이상으로 말하기
67,어떤 상대?,날 웃게 하는,나에게 잘 웃어 주는
68,쉴 때는,티비보기,게임하기
69,오랜만에 맞은 휴일,혼자만의 시간 가지기,못만나던 친구 만나기
70,둘 중 하나를 고른다면,깜짝이벤트,미리 알려주기
71,능력이 있다면,그림 잘 그리기,말 잘 하기
72,좋아하는 대화 주제는?,내가 잘 아는 주제,내가 잘 모르는 주제
73,둘 중 더 좋아하는 것은?,소주,맥주
74,진지한 이야기는?,정리된 줄글,실시간 통화
75,꼭 만나고 싶은 사람을 만나게된다면?,꺄아 너무 좋아요! 솔직하게 말하기,수줍. 만나서 반갑습니다. 티내지 않기
76,민트초코는?,치약맛 초코,맛있어!
77,재밌는 드라마는,생방 챙겨보기,완결 기다렸다가 몰아보기
78,아이스크림은,여름에 먹어야 제맛,겨울에 먹어야 제맛
79,카페는,디저트가 맛있는,인테리어가 예쁜
80,음료수는?,탄산음료,이온음료
81,키를 선택할 수 있다면?,5m,50cm
82,겨울에 잘때에는,온수매트,전기장판
83,보고싶은 영화는,극장에서 몇 번씩 보기!,집에서 결제해서 보기
84,화가 날 때는!,아찔하게 매운 음식!,아찔하게 단 음식!
85,보기 좋은 풍경은,눈으로 최대한 즐기기,사진으로 많이 남기기
86,감동받는 요소는,추억이 담긴 물건,센스있는 선물
87,흥미로운 광고를 본다면,궁금한걸? 한 번 해볼까?,광고에 현혹시키다니! 넘어가지 않겠어!
88,나에게 공포영화란?,킬링타임용 스릴있는 가벼운 영화,절대 안 보는 무서운 영화
89,버스를 기다릴 때 나는,핸드폰을 보다가 내 버스가 오면 탄다,버스 시간들을 확인하고 몇 분 후에 올지 먼저 파악한다
90,내 학창시절을 책임진 예능은?,1박2일,무한도전
91,분위기 좋은 식당을 간다면 나는,이태리 느낌 제대로 나는 고급 양식 레스토랑,고풍스러운 한옥과 함께 한국적인 고급 한식 레스토랑
92,내가 더 좋아하는 술집은,트렌디한 분위기의 술집,안주도 얼큰할 것 같은 제대로된 포차
93,나는...,강남스타일,홍대스타일
94,중고거래를 한다면 나는,자세한 설명과 특장점을 소개,사진과 간단한 소개로 시선을 끌기
95,옷을 입을 때 나는,박시한 루즈핏,핏하게 입기
96,내가 치장을 한다면,피어싱,타투
97,내 유년기를 책임진건?,친구들과 놀이터,멋진 펠트. 십자수. 다마고치 등
98,내가 더 좋아하는 풍경은?,산과 강이 어우러진 넓은 자연,하얀 모래사장에 투명한 바다
99,내가 배우고 싶은 글씨체는,멋지고 클래식한 필기체,다부지고 이쁜 바른 글씨
100,다시 태어난다면,황제,전설의 베스트셀러 작가
101,내가 빵을 산다면,달콤하고 먹기 좋은 마카롱,풍부하고 큼직한 모카빵
102,하나를 갖게 된다면..,제갈량의 지혜,유비의 인덕.복
103,한 번 꼭 찍어보고 싶은 사진은?,열심히 노력한 바디프로필,정겹게 찍은 친구들과의 우정사진
104,할로윈에 해보고싶은 분장은?,웃기고 트렌디한 분장,어둡고 고독한 다크히어로 분장
105,숲속에서 버섯을 먹게 된다면..,익숙하게 생긴 빨간 버섯,화려하게 생긴 하얀 버섯
106,내가 더 선호하는 헤어스타일링은,아름답고 오래가는 파마,그날그날 다른 느낌의 고데기
107,차를 산다면 나는,뚜껑이 열리는 수퍼카,튼튼하고 큰 안정카